index,Style,Category,Size,Qty
0,SET389,Set,S,0
1,JNE3781,kurta,3XL,1
2,JNE3371,kurta,XL,1
3,J0341,Western Dress,L,0
4,JNE3671,Top,3XL,1
5,SET264,Set,XL,1
6,J0095,Set,L,1
7,JNE3405,kurta,S,1
8,SET200,Set,3XL,0
9,JNE3461,kurta,XXL,1
10,JNE3160,kurta,S,1
11,JNE3500,kurta,XS,1
12,JNE3405,kurta,XS,1
13,SET182,Set,XS,1
14,J0351,Set,L,1
15,PJNE3368,kurta,6XL,1
16,JNE3721,kurta,XXL,1
17,JNE3405,kurta,XL,1
18,JNE3697,kurta,XXL,1
19,SET254,Set,XS,1
20,JNE3795,kurta,3XL,1
21,SET345,Set,M,1
22,JNE3373,kurta,L,1
23,SET291,Set,M,0
24,MEN5002,kurta,L,1
25,NW030,Set,XS,1
26,JNE3415,kurta,3XL,1
27,PJNE2199,kurta,4XL,1
28,JNE3567,kurta,M,1
29,JNE2132,kurta,3XL,0
30,J0341,Western Dress,S,1
31,MEN5009,kurta,XL,1
32,J0011,Set,M,1
33,JNE3766,kurta,M,1
34,JNE3373,kurta,XL,1
35,MEN5001,kurta,XL,1
36,SET345,Set,L,1
37,JNE3787,kurta,S,1
38,JNE3543,kurta,S,1
39,JNE3405,kurta,L,1
40,J0211,Ethnic Dress,XXL,1
41,J0401,Western Dress,3XL,1
42,JNE2153,kurta,M,1
43,SET360,Set,M,1
44,SET268,Set,L,1
45,SET183,Set,S,1
46,J0230,Set,L,1
47,JNE3744,Top,S,1
48,JNE3510,kurta,S,1
49,JNE3405,kurta,M,1
50,J0186,Set,S,1
51,J0003,Set,M,1
52,SET282,Set,M,1
53,JNE1407,kurta,XL,1
54,J0301,Top,L,1
55,JNE3869,Western Dress,S,1
56,SET324,Set,XS,1
57,JNE3405,kurta,L,1
58,SET279,Set,S,1
59,JNE2014,kurta,XXL,1
60,NW005,Set,XL,1
61,JNE2270,kurta,M,1
62,JNE3579,kurta,M,1
63,SET347,Set,XS,1
64,SET264,Set,M,1
65,JNE3373,kurta,XXL,0
66,SET333,Set,XXL,1
67,JNE3645,Top,L,1
68,SET233,Set,L,1
69,J0381,Set,3XL,1
70,JNE3068,kurta,XL,1
71,JNE3718,kurta,M,1
72,SET386,Set,S,1
73,JNE3745,kurta,XXL,1
74,JNE3467,kurta,XL,1
75,JNE3721,kurta,L,1
76,JNE3405,kurta,XXL,1
77,SET295,Set,3XL,1
78,JNE3861,Western Dress,XL,1
79,SET288,Set,3XL,1
80,SET394,Set,3XL,1
81,SET397,Set,3XL,1
82,MEN5002,kurta,XXL,1
83,SET377,Set,M,0
84,JNE3510,kurta,M,0
85,BTM038,Bottom,3XL,1
86,J0343,Western Dress,M,1
87,J0341,Western Dress,XL,1
88,J0295,Western Dress,XXL,1
89,JNE3560,kurta,M,1
90,J0333,Western Dress,3XL,1
91,SET389,Set,M,1
92,JNE3801,kurta,3XL,1
93,SET098,Set,M,1
94,MEN5013,kurta,L,1
95,JNE3405,kurta,L,0
96,J0003,Set,L,1
97,JNE3718,kurta,3XL,1
98,SET347,Set,S,1
99,JNE3405,kurta,XXL,1
100,JNE3391,kurta,XXL,1
101,SET347,Set,S,0
102,SET277,Set,XXL,1
103,J0293,Western Dress,S,1
104,SET268,Set,L,1
105,SET154,Set,XL,1
106,JNE3439,kurta,XL,1
107,SET291,Set,XL,1
108,SET293,Set,M,1
109,JNE3648,Top,M,1
110,SET268,Set,L,1
111,JNE3334,kurta,M,1
112,SET331,Set,XS,1
113,SET265,Set,S,1
114,JNE3718,kurta,S,1
115,SET397,Set,M,1
116,JNE3861,Western Dress,XXL,1
117,J0335,Western Dress,XL,1
118,J0335,Western Dress,XXL,1
119,JNE1525,kurta,S,1
120,JNE3654,Top,XL,1
121,JNE3261,kurta,S,1
122,SET324,Set,S,1
123,SET332,Set,S,1
124,SET324,Set,3XL,1
125,SET324,Set,XS,1
126,SET280,Set,S,1
127,JNE3618,kurta,XXL,1
128,SET304,Set,XS,1
129,MEN5032,kurta,3XL,1
130,SET110,Set,XXL,1
131,SET324,Set,M,1
132,SET269,Set,3XL,0
133,JNE3794,kurta,M,1
134,JNE3291,kurta,XXL,1
135,JNE3440,kurta,3XL,1
136,JNE2270,kurta,XXL,1
137,JNE3261,kurta,M,1
138,SET110,Set,M,1
139,J0300,Top,3XL,0
140,SET324,Set,M,1
141,JNE3810,kurta,S,1
142,JNE3461,kurta,XL,1
143,JNE3429,kurta,XL,1
144,JNE3710,Western Dress,S,1
145,J0113,Top,XS,1
146,SET355,Set,M,1
147,J0009,Set,S,1
148,J0248,Set,XL,1
149,JNE3560,kurta,XL,1
150,JNE3373,kurta,3XL,1
151,SET398,Set,L,1
152,NW032,Set,XXL,1
153,SET361,Set,S,1
154,JNE3797,Western Dress,L,1
155,JNE3887,kurta,XL,0
156,JNE3870,Western Dress,XXL,1
157,SET345,Set,XS,1
158,NW013,Set,L,1
159,JNE2014,kurta,XL,1
160,JNE3612,kurta,S,1
161,PJNE2100,kurta,6XL,1
162,SET398,Set,3XL,1
163,J0006,Ethnic Dress,M,1
164,JNE3405,kurta,S,1
165,PJNE2100,kurta,6XL,0
166,JNE3437,kurta,S,1
167,JNE3465,kurta,S,1
168,J0373,kurta,3XL,1
169,J0344,Top,3XL,1
170,J0118,Top,XXL,1
171,SET200,Set,XS,1
172,JNE3405,kurta,M,1
173,JNE1998,kurta,XXL,1
174,MEN5004,kurta,3XL,1
175,SET345,Set,XXL,1
176,SET291,Set,M,1
177,JNE3654,Top,L,1
178,J0344,Top,L,0
179,J0334,Top,L,1
180,J0230,Set,S,1
181,SET345,Set,M,1
182,JNE1233,kurta,XXL,1
183,J0295,Western Dress,M,1
184,SET324,Set,L,1
185,JNE3371,kurta,XL,1
186,J0147,Set,XL,1
187,J0308,Western Dress,L,1
188,NW030,Set,L,1
189,SET360,Set,XL,1
190,PJNE3373,kurta,6XL,1
191,JNE3449,kurta,XXL,1
192,JNE3786,kurta,S,1
193,SET324,Set,M,1
194,J0003,Set,XXL,1
195,J0314,kurta,M,1
196,J0341,Western Dress,M,1
197,PJNE3068,kurta,4XL,1
198,J0340,Top,M,1
199,JNE3687,Top,M,1
200,J0376,Set,L,1
201,J0003,Set,M,1
202,J0198,Top,S,1
203,JNE3453,kurta,S,1
204,JNE3795,kurta,3XL,1
205,J0340,Top,M,0
206,SET398,Set,M,1
207,NW033,Set,3XL,1
208,NW037,Set,3XL,1
209,JNE3618,kurta,M,1
210,SET290,Set,M,1
211,JNE3405,kurta,L,1
212,JNE3568,kurta,XXL,1
213,J0003,Set,3XL,1
214,JNE2153,kurta,S,1
215,JNE3861,Western Dress,XL,0
216,JNE3645,Top,XS,1
217,JNE3662,Top,XS,1
218,JNE3440,kurta,L,1
219,SET331,Set,S,1
220,J0301,Top,M,1
221,MEN5004,kurta,XL,1
222,J0352,kurta,S,1
223,JNE3160,kurta,XXL,1
224,JNE3798,Western Dress,M,1
225,JNE3690,Top,XL,1
226,SET355,Set,XXL,0
227,SET317,Set,XXL,0
228,SET375,Set,XL,1
229,JNE3371,kurta,M,1
230,JNE3465,kurta,S,1
231,SET116,Set,XL,1
232,JNE3781,kurta,3XL,1
233,SET147,Set,XL,1
234,SET397,Set,XL,1
235,SET300,Set,L,1
236,JNE3384,kurta,M,1
237,JNE3291,kurta,XL,1
238,SET291,Set,L,1
239,JNE3399,kurta,L,1
240,SET291,Set,M,1
241,JNE3440,kurta,XS,1
242,J0198,Top,S,0
243,SET363,Set,XXL,1
244,SET304,Set,XS,1
245,JNE3405,kurta,XL,1
246,J0348,Set,S,1
247,J0399,Western Dress,M,1
248,JNE3797,Western Dress,M,1
249,JNE3440,kurta,M,0
250,JNE3802,kurta,M,0
251,J0285,Set,M,0
252,SET322,Set,XL,1
253,MEN5021,kurta,XL,1
254,PJ0096,kurta,5XL,1
255,JNE3461,kurta,M,1
256,SET383,Set,L,1
257,J0002,Set,3XL,1
258,SET344,Set,3XL,1
259,JNE3465,kurta,XXL,1
260,SET324,Set,XXL,1
261,SET184,Set,3XL,1
262,SET324,Set,L,1
263,JNE3697,kurta,XXL,1
264,J0008,Set,S,1
265,J0008,Set,XXL,2
